Date,CA unitaire 1,CA unitaire 2,CA unitaire 3,CA unitaire 4,CA unitaire 5,Moyenne
27/02/17,4492,4515,4609,4533,4588,"4547,4"
01/03/17,2549,2646,2702,2543,2624,"2612,8"
02/03/17,3041,3096,3055,3118,3053,"3072,6"
03/03/17,3096,3262,3212,3264,3176,3202
06/03/17,1788,1887,1903,1725,1867,1834
07/03/17,2304,2224,2167,2146,2288,"2225,8"
08/03/17,2170,2177,2252,2134,2098,"2166,2"
09/03/17,2876,2680,2896,2865,2806,"2824,6"
10/03/17,750,761,720,737,761,"745,8"
13/03/17,1965,1957,1908,2018,1892,1948
14/03/17,1994,2140,2014,2146,2017,"2062,2"
15/03/17,2202,2380,2431,2217,2237,"2293,4"
16/03/17,2787,2790,2754,2770,2715,"2763,2"
17/03/17,2884,2936,2980,2973,2839,"2922,4"
20/03/17,1315,1354,1292,1245,1243,"1289,8"
21/03/17,1727,1703,1717,1680,1794,"1724,2"
22/03/17,1727,1789,1871,1994,1793,"1834,8"
23/03/17,2826,2891,2645,2605,2805,"2754,4"
24/03/17,2432,2549,2653,2471,2625,2546
25/03/17,1554,1700,1570,1603,1595,"1604,4"
27/03/17,1598,1600,1625,1519,1660,"1600,4"
28/03/17,1477,1439,1542,1489,1427,"1474,8"
29/03/17,1512,1610,1516,1559,1553,1550
30/03/17,2226,2247,2189,2216,2196,"2214,8"
