"H","22","branche","GI04","-5","-5","-5","-5","-1","-5","-5","-5","-5","-5","33",,"20:30:00","22:00:00","10","Non","Lundi, Mardi, Mercredi, Jeudi, Vendredi","4","6"
"H","20","tronc commun","TC04","2","0","-1","2","-5","0","5","2","5","5","15",,"19:00:00","22:00:00","7","Non","Mardi, Jeudi, Vendredi","2","10"
"H","22","branche","GSM05","2","0","0","2","2","0","2","0","-1","5","120",,"20:00:00","22:15:00","10","Oui","Jeudi, Vendredi","2","5"
"H","22","branche","GM04","0","5","5","5","-1","2","5","2","-1","2","20",,"19:30:00","22:00:00","8","Non","Mercredi, Jeudi, Vendredi","3","6"
"H","23","branche","GSU04","0","2","2","2","2","5","2","5","5","5","15",,"20:30:00","22:00:00","5","Oui","Mardi, Jeudi, Vendredi","4","4"
"H","21","branche","GI04","0","2","2","5","0","2","5","-1","2","5","20",,"19:00:00","21:30:00","5","Oui","Mardi, Mercredi, Jeudi","2","5"
"H","24","branche","GP09","0","2","2","5","-1","0","2","2","5","5","20",,"20:15:00","22:00:00","10","Non","Mardi, Mercredi, Jeudi, Vendredi","4","3"
"F","20","branche","GM02","5","0","0","2","-1","2","5","2","2","5","20",,"20:00:00","22:30:00","10","Oui","Jeudi, Vendredi","2","5"
"H","24","branche","GP07","2","2","2","2","0","2","0","0","2","5","20",,"19:00:00","22:00:00","8","Non","Lundi, Mardi, Mercredi, Jeudi","3","2"
"H","19","tronc commun","TC03","0","-1","-1","-1","2","0","5","5","2","5","18",,"20:00:00","22:00:00","5","Oui","Mardi, Jeudi","4","12"
"H","21","branche","GI04","0","2","2","2","-1","5","5","5","2","5","15",,"19:30:00","22:00:00","12","Non","Mardi, Mercredi, Jeudi, Vendredi","4","3"
"F","21","branche","GSM02","2","0","0","0","5","2","5","2","2","5","20",,"20:00:00","22:00:00","10","Oui","Mardi, Jeudi","2","4"
"H","21","branche","GI04","0","0","-5","2","-5","0","5","-5","5","-1","15",,"19:30:00","22:00:00","20","Non","Mercredi, Jeudi, Vendredi","3","4"
"H","23","professeur-chercheur","","2","2","-1","5","-5","-1","-1","-1","5","5","7",,"18:00:00","22:00:00","20","Non","Lundi, Mardi, Mercredi, Jeudi, Vendredi","5","10"
"F","22","branche","GI04","0","2","2","5","0","2","2","5","2","2","30",,"20:00:00","22:00:00","10","Non","Mercredi, Jeudi, Vendredi","4","6"
"F","21","branche","GB02","0","0","2","2","5","0","-5","-1","0","2","30",,"20:00:00","22:00:00","10","Oui","Jeudi, Vendredi","4","8"
"H","21","branche","GSM02","-1","-1","-1","5","-1","0","5","5","-1","0","20",,"19:00:00","22:05:00","6","Oui","Mardi, Jeudi, Vendredi","3","8"
"F","18","tronc commun","TC02","0","0","0","0","5","0","5","0","0","0","15",,"20:00:00","22:00:00","5","Oui","Mercredi","2","3"
"F","23","branche","GI04","2","0","0","-1","-5","0","0","0","2","2","20",,"19:00:00","22:00:00","10","Oui","Lundi, Jeudi, Vendredi","4","4"
"F","20","branche","GB02","2","0","2","0","5","-1","5","2","2","5","12",,"20:15:00","22:00:00","10","Oui","Mercredi, Jeudi, Vendredi","3","8"
"F","22","branche","GP04","2","-1","-1","-1","-1","-1","5","5","5","5","25",,"19:45:00","22:00:00","10","Oui","Mercredi, Jeudi, Vendredi","3","6"
"H","23","branche","GM06","0","2","5","0","-1","2","2","2","5","5","30",,"20:00:00","22:30:00","10","Oui","Lundi, Mercredi, Vendredi","3","6"
"F","19","tronc commun","TC02","0","0","2","2","5","0","5","0","0","5","40",,"20:00:00","22:00:00","4","Non","Mercredi, Jeudi","1","4"
"F","22","branche","GI04","-1","-1","-1","-1","-1","5","5","2","-1","-1","40",,"19:30:00","22:00:00","10","Non","Mercredi, Jeudi, Vendredi","2","4"
"F","20","tronc commun","TC03","5","-1","-1","5","5","-5","2","-1","0","-5","20",,"20:00:00","22:00:00","5","Oui","Lundi, Mardi, Jeudi","2","10"
"F","18","tronc commun","TC02","0","0","0","2","0","2","5","0","0","5","2","20","19:30:00","22:00:00","5","Non","Mercredi, Vendredi","1","2"
"H","18","branche","GI04","5","-1","2","2","2","5","5","-1","2","5","20",,"20:00:00","22:00:00","6","Oui","Jeudi, Vendredi","3","6"
"H","23","branche","GI04","-1","2","5","5","2","5","2","2","5","5","20",,"19:30:00","22:00:00","10","Oui","Mercredi, Jeudi, Vendredi","4","4"
"F","22","branche","GSM04","2","-1","-1","-1","-5","-5","5","-5","5","2","30",,"20:00:00","22:00:00","10","Oui","Mercredi, Jeudi, Vendredi","4","5"
"H","20","branche","GI04","0","0","0","5","0","0","-5","2","5","5","7",,"18:30:00","19:30:00","10","Oui","Jeudi","2","4"
"F","22","branche","GM04","2","0","-1","-1","5","-1","2","5","5","2","30",,"19:30:00","22:00:00","5","Oui","Mercredi, Jeudi, Vendredi","2","7"
"H","21","branche","GI04","2","-1","-1","2","2","-5","2","5","5","5","30",,"20:00:00","22:00:00","10","Non","Jeudi, Vendredi","3","5"
"F","20","tronc commun","TC02","0","0","0","5","5","0","5","0","0","5","20",,"20:30:00","22:00:00","10","Oui","Jeudi, Vendredi","2","8"
"F","21","branche","GI01","2","2","-1","-1","-5","2","2","5","-1","5","30",,"20:30:00","22:00:00","10","Oui","Jeudi","4","8"
"H","23","branche","GI04","0","2","-1","2","0","5","2","5","0","-1","20",,"18:30:00","22:00:00","10","Non","Lundi, Mardi, Mercredi, Jeudi, Vendredi","5","10"
"H","19","tronc commun","TC02","0","2","0","0","2","2","5","5","5","0","15",,"20:00:00","22:00:00","10","Oui","Mercredi","3","5"
"H","20","branche","GI04","2","-1","-5","5","-5","2","5","2","5","5","17",,"20:00:00","21:30:00","20","Oui","Mardi, Mercredi, Jeudi, Vendredi","4","2"
"F","24","branche","GI04","0","2","2","-1","-5","5","-1","5","2","5","30",,"19:00:00","22:15:00","15","Non","Mardi, Mercredi, Jeudi","4","6"
"H","20","branche","GSM02","5","0","2","5","2","5","5","0","0","5","20",,"19:30:00","22:00:00","4","Non","Jeudi, Vendredi","1","4"
"F","22","branche","GI04","0","2","2","2","-5","0","2","5","5","5","20",,"20:00:00","22:00:00","10","Oui","Lundi, Mardi, Mercredi, Jeudi, Vendredi","3","9"
