Id,Horodateur,Tu es ...,"Ton age ? (Juste le nombre, ex: 19)",Que fais-tu à l'UTC ? ,Ton semestre et ta branche si nécessaire ? (ex: GM04),Est-ce que tu vas au Pic ?,Est-ce que tu bois de l'alcool ?,Tes préférences : [Cidre Loic Raison],Tes préférences : [Chimay Bleue],Tes préférences : [Duvel],Tes préférences : [Grand Cru St Feuillien],Tes préférences : [Pêche Mel Bush],Tes préférences : [Westmalle Triple],Tes préférences : [Barbar Blonde],Tes préférences : [Chouffe],Tes préférences : [Cuvée Des Trolls],Tes préférences : [Delirium Tremens],Tes préférences : [Gauloise Rouge],"Combien bois tu de bières (en moyenne) quand tu viens au Pic ? (Juste le nombre, ex: 3)","Combien de temps te faut-il (en moyenne) pour boire ta bière ? (Juste le nombre de minutes, ex: 20)",A quelle heure arrives-tu en général au Pic ?,Et à quelle heure repars-tu ?,"Quel est ton budget maximum par soir ? (Juste le nombre d'euros, ex: 10)","En général, manges-tu avant d'aller au Pic ?",Quels jours viens-tu au pic ? (En général),Note ta sensibilité à l'alcool :,"Avec combien de potes en moyenne tu passes ta soirée ? (Juste le nombre, ex: 5)",As-tu déjà été permanencier au Pic ?,"Combien de temps te faut-il, en moyenne, pour servir une bière ? (Nombre de secondes, ex: 45)"
1,07/06/2017 17:35:47,Un homme,22,Branche,Gx04,Oui,Oui,Je déteste !,Je déteste !,Je déteste !,Je déteste !,Bof...,Je déteste !,Je déteste !,Je déteste !,Je déteste !,Je déteste !,J'adore !,2,33,20:30:00,22:00:00,No limit,"Non, je mange un menu au Pic","Lundi, Mardi, Mercredi, Jeudi, Vendredi",4,6,Non,
2,07/06/2017 17:36:01,Un homme,20,Tronc commun,TC04,Oui,Oui,Pas mal,Jamais bu,Bof...,Pas mal,Je déteste !,Jamais bu,J'adore !,Pas mal,J'adore !,J'adore !,Je déteste !,3,15,19:00:00,22:00:00,7,"Non, je mange un menu au Pic","Mardi, Jeudi, Vendredi",2,10,Oui,30
3,07/06/2017 17:36:03,Un homme,21,Branche,GI04,Non,,,,,,,,,,,,,,,,,,,,,,,
4,07/06/2017 17:36:42,Un homme,22,Branche,GSM05,Oui,Oui,Pas mal,Jamais bu,Jamais bu,Pas mal,Pas mal,Jamais bu,Pas mal,Jamais bu,Bof...,J'adore !,Pas mal,3,120,20:00:00,22:15:00,10,Oui,"Jeudi, Vendredi",2,5,Oui,20
5,07/06/2017 17:36:43,Un homme,22,Branche,GM04,Oui,Oui,Jamais bu,J'adore !,J'adore !,J'adore !,Bof...,Pas mal,J'adore !,Pas mal,Bof...,Pas mal,Bof...,4,20,19:30:00,22:00:00,8,"Non, manger c'est triché","Mercredi, Jeudi, Vendredi",3,6,Non,
6,07/06/2017 17:37:09,Un homme,23,Branche,Gsu04,Oui,Oui,Jamais bu,Pas mal,Pas mal,Pas mal,Pas mal,J'adore !,Pas mal,J'adore !,J'adore !,J'adore !,Pas mal,2,15,20:30:00,22:00:00,5,Oui,"Mardi, Jeudi, Vendredi",4,4,Oui,60
7,07/06/2017 17:37:12,Un homme,21,Branche,GI04,Oui,Oui,Jamais bu,Pas mal,Pas mal,J'adore !,Jamais bu,Pas mal,J'adore !,Bof...,Pas mal,J'adore !,Pas mal,2,20,19:00:00,21:30:00,5,Oui,"Mardi, Mercredi, Jeudi",2,5,Oui,20
8,07/06/2017 17:37:14,Un homme,24,Branche,GP09,Oui,Oui,Jamais bu,Pas mal,Pas mal,J'adore !,Bof...,Jamais bu,Pas mal,Pas mal,J'adore !,J'adore !,Je déteste !,4,20,20:15:00,22:00:00,10,"Non, manger c'est triché","Mardi, Mercredi, Jeudi, Vendredi",4,3,Oui,30
9,07/06/2017 17:37:18,Une femme,20,Branche,GM02,Oui,Oui,J'adore !,,Jamais bu,Pas mal,Bof...,Pas mal,J'adore !,Pas mal,Pas mal,J'adore !,J'adore !,4,20,20:00:00,22:30:00,Aucun budget,Oui,"Jeudi, Vendredi",2,5,Oui,45
10,07/06/2017 17:37:22,Un homme,24,Branche,GP07,Oui,Oui,Pas mal,Pas mal,Pas mal,Pas mal,Jamais bu,Pas mal,Jamais bu,Jamais bu,Pas mal,J'adore !,J'adore !,3,20,19:00:00,22:00:00,8,"Non, je mange des snacks au Pic","Lundi, Mardi, Mercredi, Jeudi",3,2,Oui,40
