Date,Nombre d’étudiants,CA
27 février,987,5724.7
1 mars,540,2635.85
2 mars,628,3315.25
3 mars,668,3657.65
6 mars,348,1464.95
7 mars,452,1951
8 mars,427,1828.8
9 mars,569,3005.7
10 mars,107,385.3
13 mars,365,1472.45
14 mars,421,1772.5
15 mars,454,1896.45
16 mars,546,2442.75
17 mars,618,3310.2
20 mars,234,1050.65
21 mars,331,1517.05
22 mars,353,1635.7
23 mars,556,2816
24 mars,523,3028.85
25 mars,336,2093.9
27 mars,294,1287.2
28 mars,274,1231.1
29 mars,293,1207.4
30 mars,428,1537.2
